step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
575.0,25,253.0,6.325,1.623093478088498,25,466.0,0.07581059785929856,25,466.0
580.0,32,397.0,9.682926829268293,0.9918144417633237,32,610.0,0.027934123765065603,32,610.0
585.0,32,407.0,9.465116279069768,1.6747047021965853,32,689.0,0.06797431000099499,32,689.0
590.0,23,309.0,7.536585365853658,3.096474328414298,23,660.0,0.1183572805765588,23,660.0
595.0,15,229.0,5.4523809523809526,5.301331606678717,15,521.0,0.18896646054113198,15,521.0
600.0,8,103.0,2.641025641025641,6.956095918592161,8,433.0,0.2905753556259605,8,433.0
605.0,3,32.0,0.9411764705882353,8.574721863323122,3,347.0,0.4485610507250023,3,347.0
610.0,0,0.0,0.0,8.142163262685932,0,285.0,0.46017145170796697,0,285.0
615.0,6,19.0,0.6333333333333333,6.6129349281679115,6,291.0,0.29735870225112954,6,291.0
620.0,12,65.0,2.1666666666666665,4.31636962294784,12,337.0,0.21442100385280097,12,337.0
625.0,17,137.0,4.28125,2.468334606480836,17,410.0,0.18013379682923072,17,410.0
630.0,23,241.0,6.694444444444445,1.6414122863033276,23,514.0,0.09825235962346235,23,514.0
635.0,23,234.0,6.0,1.7683751765496112,23,548.0,0.09076332341447418,23,548.0
640.0,19,159.0,3.8780487804878048,3.3225579991763303,19,489.0,0.13803059315757063,19,489.0
645.0,15,126.0,3.0,5.478765756544853,15,388.0,0.20235107098367328,15,388.0
650.0,7,65.0,1.7105263157894737,6.568906392784933,7,284.0,0.2789470439347206,7,284.0
655.0,3,29.0,0.8285714285714286,8.009081767381671,3,229.0,0.4608229746072327,3,229.0
660.0,3,7.0,0.1891891891891892,7.635631110850938,3,217.0,0.476708262562127,3,217.0
665.0,8,36.0,0.9473684210526315,6.719443299930553,8,236.0,0.39054651991477257,8,236.0
